"Path","Name","ContentLength","WordCount"
"D:\Antigravity 2\API Endpoint Scanner\backend\ai\__pycache__\gi5.cpython-313.pyc","gi5.cpython-313.pyc","21152","986"
"D:\Antigravity 2\API Endpoint Scanner\backend\ai\__pycache__\openrouter.cpython-313.pyc","openrouter.cpython-313.pyc","16993","1090"
"D:\Antigravity 2\API Endpoint Scanner\backend\ai\cortex.py","cortex.py","118064","10511"
"D:\Antigravity 2\API Endpoint Scanner\backend\ai\gi5.py","gi5.py","25606","2249"
"D:\Antigravity 2\API Endpoint Scanner\backend\ai\openrouter.py","openrouter.py","13912","1380"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\__pycache__\defense.cpython-313.pyc","defense.cpython-313.pyc","3388","149"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\__pycache__\socket_manager.cpython-313.pyc","socket_manager.cpython-313.pyc","12765","456"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\__pycache__\ai.cpython-313.pyc","ai.cpython-313.pyc","2549","105"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\__pycache__\attack.cpython-313.pyc","attack.cpython-313.pyc","2454","97"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\__pycache__\dashboard.cpython-313.pyc","dashboard.cpython-313.pyc","7677","266"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\__pycache__\recon.cpython-313.pyc","recon.cpython-313.pyc","6834","273"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\__pycache__\reports.cpython-313.pyc","reports.cpython-313.pyc","4858","217"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\ai.py","ai.py","1607","146"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\attack.py","attack.py","2463","226"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\dashboard.py","dashboard.py","6038","553"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\recon.py","recon.py","4413","379"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\endpoints\reports.py","reports.py","2986","250"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\defense.py","defense.py","3523","363"
"D:\Antigravity 2\API Endpoint Scanner\backend\api\socket_manager.py","socket_manager.py","8711","681"
"D:\Antigravity 2\API Endpoint Scanner\backend\attacks\__pycache__\chaos.cpython-313.pyc","chaos.cpython-313.pyc","4617","228"
"D:\Antigravity 2\API Endpoint Scanner\backend\attacks\__pycache__\chronomancer.cpython-313.pyc","chronomancer.cpython-313.pyc","8887","340"
"D:\Antigravity 2\API Endpoint Scanner\backend\attacks\__pycache__\doppelganger.cpython-313.pyc","doppelganger.cpython-313.pyc","4797","239"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\base.cpython-313.pyc","base.cpython-313.pyc","8675","419"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\chain_analyzer.cpython-313.pyc","chain_analyzer.cpython-313.pyc","10049","441"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\config.cpython-313.pyc","config.cpython-313.pyc","693","21"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\context.cpython-313.pyc","context.cpython-313.pyc","1130","25"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\exploit_engine.cpython-313.pyc","exploit_engine.cpython-313.pyc","20135","764"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\graph_engine.cpython-313.pyc","graph_engine.cpython-313.pyc","16458","607"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\guard_layer.cpython-313.pyc","guard_layer.cpython-313.pyc","7924","334"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\hive.cpython-313.pyc","hive.cpython-313.pyc","11534","535"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\hyper_hive.cpython-313.pyc","hyper_hive.cpython-313.pyc","1811","63"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\memory.cpython-313.pyc","memory.cpython-313.pyc","260","10"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\mimic.cpython-313.pyc","mimic.cpython-313.pyc","6748","247"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\orchestrator.cpython-313.pyc","orchestrator.cpython-313.pyc","19582","738"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\planner.cpython-313.pyc","planner.cpython-313.pyc","7922","348"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\protocol.cpython-313.pyc","protocol.cpython-313.pyc","3871","146"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\remediation.cpython-313.pyc","remediation.cpython-313.pyc","13166","660"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\reporting.cpython-313.pyc","reporting.cpython-313.pyc","41633","1827"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\risk_engine.cpython-313.pyc","risk_engine.cpython-313.pyc","2314","102"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\__pycache__\state.cpython-313.pyc","state.cpython-313.pyc","12106","497"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\arsenal\striker_module.py","striker_module.py","4058","364"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\arsenal\tactician_module.py","tactician_module.py","3113","255"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\base.py","base.py","5621","532"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\chain_analyzer.py","chain_analyzer.py","8399","771"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\config.py","config.py","2226","210"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\context.py","context.py","746","81"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\exploit_engine.py","exploit_engine.py","16113","1331"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\graph_ai.py","graph_ai.py","6185","459"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\graph_engine.py","graph_engine.py","10781","899"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\guard_layer.py","guard_layer.py","6644","588"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\hive.py","hive.py","12371","1011"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\hyper_hive.py","hyper_hive.py","1202","122"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\master.py","master.py","8982","705"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\memory.py","memory.py","350","55"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\mimic.py","mimic.py","5525","567"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\orchestrator.py","orchestrator.py","28028","1869"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\planner.py","planner.py","6236","424"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\protocol.py","protocol.py","2206","255"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\remediation.py","remediation.py","12438","1039"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\reporting.py","reporting.py","42868","3270"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\risk_engine.py","risk_engine.py","1852","169"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\schema.sql","schema.sql","3272","350"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\state.py","state.py","9026","733"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\task_queue.py","task_queue.py","4133","325"
"D:\Antigravity 2\API Endpoint Scanner\backend\core\worker.py","worker.py","14724","1121"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\__pycache__\chronomancer.cpython-313.pyc","chronomancer.cpython-313.pyc","2454","96"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\__pycache__\doppelganger.cpython-313.pyc","doppelganger.cpython-313.pyc","3220","156"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\__pycache__\escalator.cpython-313.pyc","escalator.cpython-313.pyc","3240","149"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\__pycache__\skipper.cpython-313.pyc","skipper.cpython-313.pyc","3492","144"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\__pycache__\tycoon.cpython-313.pyc","tycoon.cpython-313.pyc","4367","185"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\chronomancer.py","chronomancer.py","1597","153"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\doppelganger.py","doppelganger.py","2426","190"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\escalator.py","escalator.py","2380","186"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\skipper.py","skipper.py","2905","228"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\logic\tycoon.py","tycoon.py","3350","262"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\tech\__pycache__\auth_bypass.cpython-313.pyc","auth_bypass.cpython-313.pyc","3568","133"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\tech\__pycache__\fuzzer.cpython-313.pyc","fuzzer.cpython-313.pyc","4150","175"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\tech\__pycache__\jwt.cpython-313.pyc","jwt.cpython-313.pyc","3243","127"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\tech\__pycache__\sqli.cpython-313.pyc","sqli.cpython-313.pyc","4134","149"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\tech\auth_bypass.py","auth_bypass.py","2607","199"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\tech\fuzzer.py","fuzzer.py","3190","233"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\tech\jwt.py","jwt.py","2250","153"
"D:\Antigravity 2\API Endpoint Scanner\backend\modules\tech\sqli.py","sqli.py","2845","198"
"D:\Antigravity 2\API Endpoint Scanner\backend\reporting\__pycache__\cvss_engine.cpython-313.pyc","cvss_engine.cpython-313.pyc","2649","98"
"D:\Antigravity 2\API Endpoint Scanner\backend\reporting\__pycache__\pdf_maker.cpython-313.pyc","pdf_maker.cpython-313.pyc","21138","1151"
"D:\Antigravity 2\API Endpoint Scanner\backend\reporting\cvss_engine.py","cvss_engine.py","2170","248"
"D:\Antigravity 2\API Endpoint Scanner\backend\reporting\pdf_maker.py","pdf_maker.py","17532","1460"
"D:\Antigravity 2\API Endpoint Scanner\backend\schemas\__pycache__\payloads.cpython-313.pyc","payloads.cpython-313.pyc","1987","72"
"D:\Antigravity 2\API Endpoint Scanner\backend\schemas\payloads.py","payloads.py","857","106"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\absolute_integrity_torture.cpython-313.pyc","absolute_integrity_torture.cpython-313.pyc","15417","636"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\harsh_environment_torture.cpython-313.pyc","harsh_environment_torture.cpython-313.pyc","24889","971"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\integrity_torture_orchestrator.cpython-313.pyc","integrity_torture_orchestrator.cpython-313.pyc","22284","967"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\regression_120_orchestrator.cpython-313.pyc","regression_120_orchestrator.cpython-313.pyc","13584","603"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\regression_orchestrator.cpython-313.pyc","regression_orchestrator.cpython-313.pyc","12066","454"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\regression_runner.cpython-313.pyc","regression_runner.cpython-313.pyc","14544","595"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\regression_target_server.cpython-313.pyc","regression_target_server.cpython-313.pyc","18821","543"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\scenario_server.cpython-313.pyc","scenario_server.cpython-313.pyc","6282","243"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\test_ai_performance.cpython-313.pyc","test_ai_performance.cpython-313.pyc","3858","185"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\test_cortex_ollama.cpython-313.pyc","test_cortex_ollama.cpython-313.pyc","4542","292"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\test_cortex_prompt.cpython-313.pyc","test_cortex_prompt.cpython-313.pyc","1679","80"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\test_extension_pipeline.cpython-313.pyc","test_extension_pipeline.cpython-313.pyc","3195","166"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\test_full_system.cpython-313.pyc","test_full_system.cpython-313.pyc","5166","230"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\test_pipelines_smoke.cpython-313.pyc","test_pipelines_smoke.cpython-313.pyc","2127","119"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\test_recursive_dedup.cpython-313.pyc","test_recursive_dedup.cpython-313.pyc","2304","133"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\test_swarm_comms.cpython-313.pyc","test_swarm_comms.cpython-313.pyc","7132","306"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\torture_harness.cpython-313.pyc","torture_harness.cpython-313.pyc","33094","1518"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\torture_orchestrator.cpython-313.pyc","torture_orchestrator.cpython-313.pyc","15647","917"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\verify_report_dedup.cpython-313.pyc","verify_report_dedup.cpython-313.pyc","3252","161"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\__pycache__\verify_report_gen.cpython-313.pyc","verify_report_gen.cpython-313.pyc","2533","108"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\reports\report_singularity_TEST-FUNCTIONALITY-001.pdf","report_singularity_TEST-FUNCTIONALITY-001.pdf","2348","187"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\reports\report_singularity_TEST-FUNCTIONALITY-002.pdf","report_singularity_TEST-FUNCTIONALITY-002.pdf","2382","192"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\reports\report_singularity_VERIFICATION_TEST_001.pdf","report_singularity_VERIFICATION_TEST_001.pdf","2405","190"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\reports\report_VERIFICATION_TEST_001.pdf","report_VERIFICATION_TEST_001.pdf","3606","309"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\absolute_integrity_torture.py","absolute_integrity_torture.py","9826","728"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\harsh_environment_torture.py","harsh_environment_torture.py","14409","1040"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\integrity_torture_orchestrator.py","integrity_torture_orchestrator.py","15428","1162"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\leak_diagnostic.py","leak_diagnostic.py","1752","170"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\mock_torture_target.py","mock_torture_target.py","5611","491"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\regression_120_orchestrator.py","regression_120_orchestrator.py","9696","845"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\regression_orchestrator.py","regression_orchestrator.py","10297","857"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\regression_runner.py","regression_runner.py","13794","1150"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\regression_target_server.py","regression_target_server.py","12959","1200"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\scenario_server.py","scenario_server.py","4556","456"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_ai_performance.py","test_ai_performance.py","2451","212"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_cortex_ollama.py","test_cortex_ollama.py","3429","295"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_cortex_prompt.py","test_cortex_prompt.py","1129","94"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_extension_pipeline.py","test_extension_pipeline.py","2029","149"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_full_system.py","test_full_system.py","3191","266"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_hybrid_delta.py","test_hybrid_delta.py","4064","315"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_llm_quality.py","test_llm_quality.py","9141","889"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_master_verification.py","test_master_verification.py","7133","591"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_pipelines_smoke.py","test_pipelines_smoke.py","1612","161"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_recursive_dedup.py","test_recursive_dedup.py","1708","154"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\test_swarm_comms.py","test_swarm_comms.py","5388","458"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\torture_framework.py","torture_framework.py","17501","1619"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\torture_harness.py","torture_harness.py","23071","1923"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\torture_orchestrator.py","torture_orchestrator.py","14994","1393"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\ultra_torture_audit.py","ultra_torture_audit.py","3989","297"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\verify_report_dedup.py","verify_report_dedup.py","2834","240"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\verify_report_gen.py","verify_report_gen.py","2468","206"
"D:\Antigravity 2\API Endpoint Scanner\backend\tests\verify_zero_leak.py","verify_zero_leak.py","1065","108"
"D:\Antigravity 2\API Endpoint Scanner\backend\cluster_main.py","cluster_main.py","4318","328"
"D:\Antigravity 2\API Endpoint Scanner\backend\main.py","main.py","4166","356"
"D:\Antigravity 2\API Endpoint Scanner\backend\requirements.txt","requirements.txt","98","6"
"D:\Antigravity 2\API Endpoint Scanner\backend\test_cortex_diag.py","test_cortex_diag.py","872","77"
"D:\Antigravity 2\API Endpoint Scanner\backend\warmup.py","warmup.py","2923","246"
"D:\Antigravity 2\API Endpoint Scanner\brain\exploit_vectors.json","exploit_vectors.json","31341","1358"
"D:\Antigravity 2\API Endpoint Scanner\brain\memory.json","memory.json","26386","2281"
"D:\Antigravity 2\API Endpoint Scanner\dist\assets\index-BexCc6Rl.css","index-BexCc6Rl.css","36084","1272"
"D:\Antigravity 2\API Endpoint Scanner\dist\assets\index-C-aoHWXA.js","index-C-aoHWXA.js","353986","8102"
"D:\Antigravity 2\API Endpoint Scanner\dist\index.html","index.html","408","29"
"D:\Antigravity 2\API Endpoint Scanner\extension\background\active_defense.js","active_defense.js","5906","592"
"D:\Antigravity 2\API Endpoint Scanner\extension\background\interceptor.js","interceptor.js","4064","433"
"D:\Antigravity 2\API Endpoint Scanner\extension\content\hud.css","hud.css","6529","666"
"D:\Antigravity 2\API Endpoint Scanner\extension\content\hud.js","hud.js","12201","801"
"D:\Antigravity 2\API Endpoint Scanner\extension\content\interceptor.js","interceptor.js","2661","253"
"D:\Antigravity 2\API Endpoint Scanner\extension\content\ScannerEngine.js","ScannerEngine.js","9996","819"
"D:\Antigravity 2\API Endpoint Scanner\extension\content\vision.js","vision.js","4790","462"
"D:\Antigravity 2\API Endpoint Scanner\extension\content\xray.css","xray.css","2004","217"
"D:\Antigravity 2\API Endpoint Scanner\extension\content\xray.js","xray.js","12712","955"
"D:\Antigravity 2\API Endpoint Scanner\extension\popup\popup.css","popup.css","3705","376"
"D:\Antigravity 2\API Endpoint Scanner\extension\popup\popup.html","popup.html","1924","100"
"D:\Antigravity 2\API Endpoint Scanner\extension\popup\popup.js","popup.js","8338","605"
"D:\Antigravity 2\API Endpoint Scanner\extension\background.js","background.js","12768","1100"
"D:\Antigravity 2\API Endpoint Scanner\extension\manifest.json","manifest.json","1739","102"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\CHANGELOG.md","CHANGELOG.md","54747","3143"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\corepack","corepack","334","33"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\corepack.cmd","corepack.cmd","218","18"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\install_tools.bat","install_tools.bat","3033","355"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\LICENSE","LICENSE","118254","16210"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\node.exe","node.exe","69261477","2967436"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\nodevars.bat","nodevars.bat","702","103"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\npm","npm","2080","295"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\npm.cmd","npm.cmd","483","49"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\npx","npx","2139","296"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\npx.cmd","npx.cmd","539","51"
"D:\Antigravity 2\API Endpoint Scanner\local_node\node-v20.11.1-win-x64\README.md","README.md","38909","2996"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\acorn","acorn","379","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\acorn.cmd","acorn.cmd","320","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\acorn.ps1","acorn.ps1","785","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\autoprefixer","autoprefixer","407","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\autoprefixer.cmd","autoprefixer.cmd","334","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\autoprefixer.ps1","autoprefixer.ps1","841","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\baseline-browser-mapping","baseline-browser-mapping","421","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\baseline-browser-mapping.cmd","baseline-browser-mapping.cmd","341","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\baseline-browser-mapping.ps1","baseline-browser-mapping.ps1","869","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\browserslist","browserslist","387","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\browserslist.cmd","browserslist.cmd","324","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\browserslist.ps1","browserslist.ps1","801","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\cssesc","cssesc","383","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\cssesc.cmd","cssesc.cmd","322","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\cssesc.ps1","cssesc.ps1","793","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\esbuild","esbuild","387","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\esbuild.cmd","esbuild.cmd","324","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\esbuild.ps1","esbuild.ps1","801","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\eslint","eslint","389","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\eslint.cmd","eslint.cmd","325","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\eslint.ps1","eslint.ps1","805","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\jiti","jiti","381","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\jiti.cmd","jiti.cmd","321","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\jiti.ps1","jiti.ps1","789","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\js-yaml","js-yaml","393","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\js-yaml.cmd","js-yaml.cmd","327","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\js-yaml.ps1","js-yaml.ps1","813","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\jsesc","jsesc","379","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\jsesc.cmd","jsesc.cmd","320","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\jsesc.ps1","jsesc.ps1","785","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\json5","json5","381","43"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\json5.cmd","json5.cmd","321","40"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\json5.ps1","json5.ps1","789","90"
"D:\Antigravity 2\API Endpoint Scanner\node_modules\.bin\loose-envify","loose-envify","387","43"
